code	City	Company_Name	Main_Activity	Operating_Revenue	Total_Assets	Revenue_Range	No_of_Companies	Shareholder_Name	Shareholder_Country	CEO_Name
EC0992263598001	Guayaquil	Soroa S.A.	Manufacturing; Wholesale	4814	15857	1752	2	Golden South Group Llc, Grupo Empresarial Amazonas S.A. Gruamazonas	EC,US	Mr Jose Antonio Cevallos Velasco
EC0990082820001	Guayaquil	Transoceanica C. Ltda	Services	4791	0	1752	0	Ankari S.A., Farimar S.A., Nimaro Sa, Peal S.A, Rideyca S.A.	EC	N/A
EC0992842172001	Guayaquil	Mejobrit S.A.	Services	4650	0	1752	0			N/A
EC1791414004001	Quito	Adeccoiberia S.A.	Services	4618	0	1752	404	Adecco International Holding B.V., Mr Antonio Oliver Lorente Blas	NL,ES	N/A
EC0990521786001	Guayaquil, Guayas	Cimentaciones Generales Y Obras Portuarias Ciport S.A.	Services	4607	11873	1752	0	Mr Carlos Rafael Miranda Illingworth, Mr Francisco Jose Miranda Illingworth, Mrs Irene Maria Miranda Illingworth, Mrs Maria Cristina Miranda Illingworth, Mrs Myriam Miranda Illingworth		Mr Carlos Rafael Miranda Illingworth
EC1791766008001	Quito	Perez, Bustamante & Ponce Abogados Cia. Ltda.	Services	4605	0	1752	2	Asepbp Representaciones Cia. Ltda., Asesoria Legal Corporativa Asesorialecorp S.A.	EC	N/A
EC0992221178001	Guayaquil	Aluminar - V, Aluminio, Vidrios Y Espejos S.A.	Wholesale	4601	0	1752	2	Mr Carlos Humberto Vera Espinoza, Mrs Elizabeth Naranjo Borja Joagny	EC	N/A
EC1791190564001	Quito	Ing. Moises Encalada Ramirez Inmera C.A.	Wholesale	4584	0	1752	2	Mr Moises Vinicio Encalada Ramirez, Mrs Nancy Cecilia Celi Castillo	EC	N/A
EC0992760133001	Guayaquil	Juprexport S.A.	Wholesale	4576	0	1752	0			N/A
EC1792114594001	Quito	Sierrashoes S.A.	Wholesale	4521	0	1752	2	Mr Uwe Peter Guggenbuhl Noller, Mrs Astrid Carmen Guggenbuhl	CH	N/A
EC1791869176001	Quito	Sudintex Cia. Ltda.	Manufacturing	4506	0	1752	2	Mr Jose Luis Tandazo Bravo, Mr Reinaldo Bravo Campoverde Walter	EC	N/A
EC1791369378001	Quito	Corporacion De Desarrollo De Mercado Secundario De Hipotecas Cth S.A.	Services	4500	41534	1752	0	Banco De La Produccion Sa - Produbanco, Banco Del Pacifico, Banco Ecuatoriano De La Vivienda, Banco Pichincha C.A., Corporacion Andina De Fomento, Others	II,EC	Mr Mario Alfredo Burbano De Lara Auson
EC0991383999001	Guayaquil	Operadora Del Pacifico S.A. (Opacif)	Services	4476	0	1752	0			N/A
EC1791239873001	Quito	Rafiatex Cia. Ltda.	Manufacturing; Wholesale	4463	0	1752	0	Khamis Masso Haifa, Khamis Masso Ramon Nakleh, Khamis Masso Samar, Mr Sami Khamis Masso Khader, Mr Samir Khamis Alam, Mrs Ursula Masso Abussada Nawal	EC	N/A
EC0992689536001	Guayaquil	Galarza Motors Company Galarzamotors S.A.	Manufacturing; Wholesale	4441	0	1752	0			N/A
EC1790017125001	Quito	International Shipping & Storage Ltda	Manufacturing; Wholesale	4418	0	1752	0	Avalos Avalos Carlos Enrique (Hrdos), Herederos Avalos Villafuerte Delia Ines, Mr Antonio Avalos Villafuerte Vicente, Mr Carlos Enrique Avalos Villafuerte, Mr Luis Antonio Avalos Avalos, Mrs Maria Elena Avalos Villafuerte	EC	N/A
EC1791317939001	Quito	Equigrupo S.A.	Manufacturing; Wholesale	4395	0	1752	2	Mr Mauricio Ordonez Otero, Soluciones Graficas Equigrafic S.A.	EC	N/A
EC15852	Portoviejo	Cooperativa De Ahorro Y Credito Comercio Ltda	Manufacturing; Wholesale	4382	44753	1752	0			N/A
EC1792172993001	Quito	Vladmau Construcciones S.A.	Manufacturing; Wholesale	4345	0	1752	2	Mr Akira Ricardo Sakurai Espana, Mr Vladimir Anibal Sper Balanzategui	EC	N/A
EC1890152828001	Ambato	Proveedora Castro-Londono Jabocentro Cia. Ltda.	Manufacturing; Wholesale	4342	0	1752	2	Mr Luis Raimundo Castro Ortiz, Mrs Camila Anahi Montenegro Castro, Mrs Ines Elizabeth Castro Londono, Mrs Maria Fernanda Castro Londono, Mrs Maria Gabriela Castro Londono	EC	N/A
EC1791288106001	Quito	Modinter S.A.	Manufacturing; Wholesale	4333	0	1752	2	Modus International (Two Thousand) Inc, Mr Rene Ramirez Molina Estuardo	EC,BS	N/A
EC0992129441001	Guayaquil	Samsung Electronics Latinoamerica ( Zona Libre ) S.A.	Manufacturing; Wholesale	4324	0	1752	0			N/A
EC1791767071001	Guayaquil	Cosmeticos E-Cos S.A.	Manufacturing; Wholesale	4316	0	1752	39	Alfa Parf Group S.P.A.	IT	N/A
EC15833	Loja	Cooperativa De Ahorro Y Credito De La Pequena Empresa Cacpe Loja	Manufacturing; Wholesale	4302	49516	1752	0			N/A
EC1792247934001	Quito	Cormoviltelco S.A.	Manufacturing; Wholesale	4297	0	1752	2	Mr Gabriel Augusto Giannotti, Mrs Maria Cecilia Heinen	AR	N/A
EC0990581827001	Guayaquil	Cablevision Sa	Manufacturing; Wholesale	4292	0	1752	0			N/A
EC0990319723001	Guayaquil	Dolmen S.A.	Services	4287	17682	1752	0	Iristec S.A., Mr David Borja Alvear, Mr Leonila Balladares Moran Rosa, Mr Luis Felipe Borja Barrezueta, Mrs Elsa Eunice Alvear Arboleda	EC	Mr David Borja Alvear
EC1190091003001	Loja	Comercializadora Del Austro Comdeltro Cia. Ltda.	Services	4273	0	1752	0			N/A
EC0992703776001	Guayaquil	Maxzeus S.A.	Services	4250	0	1752	0	Mr Marlon Alfonso Barberan Paredes, Mr William Fernando Chavez Utreras, Mrs Cristina Cepeda Arteaga Rosa	EC	N/A
EC0992297050001	Guayaquil	Inmopacifico S.A.	Services	4196	0	1752	0			N/A
EC0990267278001	Guayaquil	Hotel Boulevard (Elboulevard) S.A.	Services	4194	16659	1752	2	Mr Jose Francisco Carrion Ycaza, Otei Technologies (Oteitec) Llc	US,EC	Mr Stefano Piroli
EC2190003844001	Nueva Loja	Galindo Johnson Representaciones Cia. Ltda.	Services	4186	0	1752	3	Mr John Rene Galindo Tipan, Mr Rene Galindo Alencastro Johnson	EC	N/A
EC0990858071001	Guayaquil	Informacion De Sistemas Ecuasistemas S. A.	Services	4142	0	1752	0			N/A
EC1792123895001	Quito	Sgainnovar S.A.	Services	4120	0	1752	0			N/A
EC1790014541001	Quito	Ericsson De Ecuador C.A.	Services	4119	0	1752	230	Telefonaktiebolaget Lm Ericsson	SE	N/A
EC1790528782001	Quito	Halliburton Latin America S.R.L.	Services	4104	0	1752	214	Halliburton Latin America S.R.L	UY	N/A
