code	no_of_companies	shareholder_Name	shareholder_Country
EC0790002350001	2	Aguirre Cardenas Nelly Adalguiza Del Carmen, Arias Victor Manuel De Jesus, Armijos Armijos Arecio Bernabe, Armijos Armijos Bolivar Jovito, Asociacion De Profesores Y Empleados Del Colegio 26 De Nomviembre, Astudillo Ordonez Antonieta Del Cisne, Astudillo Ramirez Ana Maria Del Cisne, Astudillo Ramirez Dolores Maria De Fatima, Bravo Torres Javier De Jesus, Calderon Solano Euclides Alciviades, Camba Georgina Pomposa, Carchi Salazar Segundo Armangel, Carrion Cabrera Cleotilde, Carrion Mora Enrique Manuel De Jesus, Charria Chermes Clodomiro Exipian, Coello Carrion Amarilis Ariopaguita, Cooperativa De Ahorro Y Credito Educadores De El Oro Ltda, Espinosa Herman Rodrigo, Espinoza Romero Mariana De Jesus, Feijoo Loayza Maximo Alciviades, Fisa Fundiciones Industriales S.A., Gallardo Anazco Manuel Ubiticio, Genta S.A., Granda Encalada Sucre Ecuador, Honores Cardenas Mariana De Jesus, Industrias Gaseosas El Oro Cia Ltda (Ingaoro Cia Ltda), Inversiones Dogo Dogosa Sa, Jijon Ycaza Angel De Jesus, Laniado Castro Maria De Lourdes, Loaiza Jaramillo Angel Sigiberto, Loayza Valarezo Telmo De Jesus, Monterrey Azucarera Lojana Ca Malca, Morocho Morocho Isidro De Jesus, Morocho Roman Katita De Fatima, Motoche Maldonado Senen Agnelio, Mr Albertina Pelaez Saldarriaga Rosa, Mr Alberto Franklin Molina Oramas, Mr Alberto Garcia Molina Wilson, Mr Alberto Ullauri Perez Galo, Mr Alberto Washington Villalta Zambrano, Mr Alejandro Alban Lituma Santiago, Mr Alejandro Guillermo Castro Hidalgo, Mr Alejandro Ortiz Gomez Nestor, Mr Alejandro Weisson Egas Heraclito, Mr Alfonso Avila Astudillo, Mr Alfonso Manuel Veintimilla Loayza, Mr Alfredo Enrique Jaramillo Rosales, Mr Angel Alejo Avila Cordova, Mr Angel Lisimaco Torres Armijos, Mr Angel Rizzo Perez Bolivar, Mr Angel Salvador Ochoa Aguilar, Mr Angel Vicente Cordero Cedillo, Mr Anton Joseantonio Wadih Barciona, Mr Antonio Apolo Roman Angel, Mr Antonio Carrion Vargas Manuel, Mr Argemiro Cedeno Velez Modesto, Mr Arturo Sanmartin Roldan Segundo, Mr Aurelio Egas Noblecilla Walter, Mr Betsy Piedad Astudillo Cabrera, Mr Braulio Alcibiades Lopez Barba, Mr Braulio Ramon Armijos  Porfirio, Mr Carlos Alberto Madero Vecilla, Mr Carlos Alejandro Beltran Cobos, Mr Carlos Alfredo Zambrano Moreira, Mr Carlos Eduardo Moscoso Molina, Mr Carlos Enrique Elizalde Herrera, Mr Carlos Enrique Silva Ferdez, Mr Carlos Enrique Veintemilla Zambrano, Mr Carlos Ernesto Estarellas Merino, Mr Carlos Eugenio Segura, Mr Carlos Ferdo Factos Guanoluisa, Mr Carlos Humberto Loaiza Romero, Mr Carlos Humberto Rojas Jacome, Mr Carlos Lionel Gonzalez Valdiviezo, Mr Carlos Maria Valarezo Galarza, Mr Carlos Modesto Quichimbo, Mr Carlos Roberto Loaiza Romero, Mr Carlos Walter Villalta Zambrano, Mr Carrion Angel Polivio, Mr Celio Quirola Figueroa Esteban, Mr Celsa Maria Vega Lavanda, Mr Cesar Augusto Ullauri Aguilar, Mr Cesar Eduardo Mejia Aguilar, Mr Cesar Enrique Naranjo Fischer, Mr Cesar Orellana Quinde, Mr Cesar Victoriano Ochoa Castro, Mr Claudio Enrique Chuchuca, Mr Crispulo Miguel Heredia Ludena, Mr Cristian Alfredo Aguilar Astudillo, Mr Daniel Romero Loayza Segundo, Mr Daniel Ullauri Ullauri Miguel, Mr Del Carmen Quezada Vega Rosario, Mr Delfin Parra, Mr Diego Munuche Garrido Lisimaco, Mr Edgar Modesto Jimenez Torres, Mr Eduardo Alberto Balarezo Nimbriotis, Mr Eduardo Alfredo Garcia Neira, Mr Eduardo Cevallos Luna Jersey, Mr Eduardo Leonel Jaramillo Romero, Mr Eduardo Paredes Zoto Angel, Mr Eduardo Vernaza Quevedo Miguel, Mr Eduardo Zaldumbide Penarreta Milton, Mr Efren Severo Barrazueta Andrade, Mr Elio Juvenal Pacheco Aguilar, Mr Eloy Dominguez Rodas Manuel, Mr Eloy Prieto Calderon Bolivar, Mr Emilio Federico Bustos Rojas, Mr Emilio Osorio Salcedo Segundo, Mr Enrique Garcia Feraud Galo, Mr Ernesto Olegario Coronel Bustos, Mr Espinoza Carrion Teofilo Othon, Mr Estanislao Henriquez Salinas Hilivino, Mr Euclides Carrion Cobos Berfol, Mr Evelio Cuenca Cuenca, Mr Ezequiel Farez Manuel, Mr Federico Mautong Echeverria, Mr Ferdo Alfonso Ugarte Molina, Mr Flavio Santos Cortez Benito, Mr Florencio Gustavo Wilches Perez, Mr Francisco Cesar Orellana Villacis, Mr Francisco Felix Minuche Galvez Olmedo, Mr Francisco Guevara Mastarreno Elias, Mr Francisco Loayza Salazar Segundo, Mr Francisco Orlando Jaramillo Romero, Mr Francisco Placido Minuche Jara, Mr Francisco Rafael Minuche Mosquera, Mr Franco Antonio Castillo Jimenez, Mr Franco Cruz Fulton, Mr Fredy Franklin Gonzalez Arrese, Mr Froilan Suquinagua Bermeo, Mr Fulvio Alvarado Sanchez Walter, Mr Fulvio Arnaldo Pastor Cabrera, Mr Fulvio Humberto Molina Orellana, Mr Gerardo Virgilio Cevallos Mendoza, Mr Geronimo Calixto Marquez Ferdez, Mr Gilberto Genaro Suco Gutierrez, Mr Gilberto Loayza Orellana Telmo, Mr Gilberto Sucre Moreno Carranza, Mr Gonzalo Elicio Romero Espinoza, Mr Gonzalo Elizalde Aguilar Bosco, Mr Gonzalo Garcia Romero Angel, Mr Guillermo Grunauer Serrano Alfonso, Mr Gustavo Parrales Rendon Pascual, Mr Hector Alcibiades Bermeo Cardenas, Mr Hector Alejo Patino Mariduena, Mr Hector Augusto Bravo Castillo, Mr Hector Del Salto Herdez  Victoriano, Mr Hector Eladio Gonzalez Gonzalez, Mr Hector Hugo Mora Espinoza, Mr Heriberto Saltos Proano Manuel, Mr Her Benites Estupi Miguel, Mr Hipolito Alvarez Barahona Abdon, Mr Homero Gonzalo Lizaldez Pacheco, Mr Hugo Leonardo Valarezo Penafiel, Mr Ignacio Aguilar Jaramillo Manuel, Mr Ignacio Davila Ordonez Manuel, Mr Ignacio Quezada Quezada Manuel, Mr Ismael Olmedo Roldan Sandoval, Mr Jacinto Gabriel Aquin Ruiz, Mr Jaime Rene Baquerizo Chavez, Mr James Celi Sanchez Klark, Mr Joaquin Gustavo Castro Mendoza, Mr Joel Wilfrido Mosquera Sanchez Esaul, Mr Jorge Alfredo Castillo Espinoza, Mr Jorge Alfredo Castro Berrezueta, Mr Jorge Alfredo Espinel Lopez, Mr Jorge Anibal Rodas Medina, Mr Jorge Augusto Servio Serrano Correa, Mr Jorge Eduardo Astudillo Feijoo, Mr Jorge Eduardo Demera Rodriguez, Mr Jorge Eduardo Encalada Mora, Mr Jorge Isidro Gomez Villegas, Mr Jorge Luis Andrade Avecillas, Mr Jorge Milton Fadul Suazo, Mr Jorge Olmedo Urdiales Matamoros, Mr Jorge Perfecto Chan Hidalgo, Mr Jorge Sanchez Cardenas Bastiad, Mr Jorge Vicente Auad Herales, Mr Jorge Washington Andrade Avecillas, Mr Jose A Galvez Cruz, Mr Jose Alberto Coronel Tandazo, Mr Jose Alfredo Ugarte Llaguno, Mr Jose Andres Teofilo Garcia Carrion, Mr Jose Antonio Paucar Hurtado, Mr Jose Encarnacion Estrada Sarango, Mr Jose Ezequiel Romero Vasquez, Mr Jose Francisco Barros Aguilar, Mr Jose Gerardo Serrano Murillo, Mr Jose Julio Serrano Castro, Mr Jose Leonardo Aguirre Valarezo, Mr Jose Leonidas Solano Merino, Mr Jose Leopoldo Leon Ruiz, Mr Jose Manuel Alfonso Lalangui Diaz, Mr Jose Manuel Jara Armijos, Mr Jose Manuel Jaramillo Leon, Mr Jose Manuel Quezada Espinoza, Mr Jose Marceliano Rodriguez Calderon, Mr Jose Maria Berru Prieto, Mr Jose Miguel Genoves, Mr Jose Norberto Reyes Lalangui, Mr Jose Olindo Vicuna Carpio, Mr Jose Pacifico Ramirez Romero, Mr Jose Vicente Gustavo Sandoval Campana, Mr Jose Vicente Luis Zambrano Larrea, Mr Jose Vicente Quezada Vega, Mr Josefina Del Carmen Zambrano, Mr Juan Agustin Samaniego Cardenas, Mr Juan Alejandro Bernal Rosas, Mr Juan Antonio Armijos Cuenca, Mr Juan Antonio Riera Quito, Mr Juan Carlos Echeverria Barriga, Mr Juan Elias Nunez Puertas, Mr Juan Enrique Loayza Romero, Mr Juan Ignacio Salinas Portillo, Mr Juan Jose Oswaldo Henriquez Coello, Mr Juan Maria Loayza Gallardo, Mr Juan Miguel Quezada Enriquez, Mr Juan Querubin Davila Caicedo, Mr Julio Aurelio Abril Valarezo, Mr Julio Ferdo Reyes Valarezo, Mr Julio Gonzalo Pesantez Pesantez, Mr Julio Guerrero Rufino, Mr Julio Patricio Espinal Cortez, Mr Juvenal Paladines, Mr Juvencio Chacha Torres Alcivar, Mr Kelita Del Rosario Loayza Agila, Mr Kelvin Edison Franco Maldonado, Mr Lema Zumba Pablo Tarquino, Mr Leonardo Calderon Bello Abdon, Mr Leoncio Agustin Arica Garcia, Mr Leovigildo Munoz Custode Nelson, Mr Liborio Jesus Patino Quirola, Mr Loaiza Romero Angel Rubio, Mr Lorena Del Rocio Castro Romero, Mr Luis Alberto Benitez Aguirre, Mr Luis Alberto Campuzano Carrion, Mr Luis Alberto Criollo Cherrez, Mr Luis Antonio Guillen Astudillo, Mr Luis Augusto Barrezueta Criollo, Mr Luis Elias Wong Chia, Mr Luis Felipe Quezada Vega, Mr Luis Felipe Solano Borbor, Mr Luis Ferdo Moreno Jaramillo, Mr Luis Ferdo Procel Rodriguez, Mr Luis Guillermo San Lucas Checa, Mr Luis Landivar Rodriguez Angel, Mr Luis Ovidio Carrion Marquez, Mr Manuel Angel Encalada Zuniga, Mr Manuel Armando Rodrigo Serrano Carrion, Mr Manuel Hilario Maldonado Maldonado, Mr Manuel Rigchag Cayambe, Mr Manuel Santiago Pozo Tamariz, Mr Manuel Valentin Guerrero Sarmiento, Mr Marcelo Eduardo Marquez Asanza, Mr Mario Antonio Burgos Chiriboga, Mr Mario Eugenio Molina Torres, Mr Mario Tadeo Barbecho Cuzco, Mr Miguel Angel Rodriguez Granda, Mr Miguel Moreno Aguilar, Mr Mirian Del Carmen Coronel Yaguana, Mr Modesto Gabriel Izurieta Ortiz, Mr Moises Auhing Trivino Abrahan, Mr Nelson Honorio Ludena, Mr Nelson Serrano Aguilar Necker, Mr Nestor Espinoza Sanchez, Mr Noel Her Cabrera Valle, Mr Orlando Segundo Valarezo Orellana, Mr Oswaldo Alvarez Plaza, Mr Patricio Alvarez Plaza, Mr Pedro Aguilar Estrella Elias, Mr Pedro Asuncion Saldarriaga, Mr Pedro Pablo Valiente Rodriguez, Mr Piedad Alvarado Viteri Belgica, Mr Piedad Maria Ponton Aguilar, Mr Plutarco Mora Solorzano Oliver, Mr Rafael Enrique Balda Cucalon, Mr Ramiro Humberto Jaramillo Romero, Mr Ramon Blanca Liria Zambrano, Mr Ramon Francisco Ernesto Lavayen, Mr Ramon Pedro Eduardo, Mr Ramon Ramon Teudos Nizchi, Mr Raul Alejandro Merchan Orellana, Mr Raul Campoverde Abril Idelberto, Mr Raul Orellana Angel, Mr Rigoberto Aguilar Jara, Mr Roberto Leonidas Ferdez Vargas, Mr Roberto Xavier Leon Ruiz, Mr Rogelio Arturo Ramirez Hermosilla, Mr Rolando Mendoza Guzman Libio, Mr Romulo Elias Ambrosi Ambrosi, Mr San Martin Cabrera Fausto Lusio, Mr Sebastian Quichimbo Manuel, Mr Segundo Abdon Wilches Arizabala, Mr Segundo Alonso Chango Chango, Mr Segundo Nicomedes Coello Figueroa, Mr Segundo Valeriano Mora Quinonez, Mr Segundo Victoriano Espinoza Loayza, Mr Servio Rene Robles Balcazar, Mr Silvio Hermes Astudillo Ramirez, Mr Sofia Orellana Moscoso Gioconda, Mr Tomas Arturo Collantes Lopez, Mr Ulpiano Elizalde Aguilar Cornelio, Mr Vicente Augusto Cordero Toral, Mr Vicente Cedillo Aguilar Macdonal, Mr Vicente Ojeda Romero, Mr Victor Anibal Cunalata Naranjo, Mr Victor Antonio Torres Maldonado, Mr Victor Daniel Eras Anguisaca, Mr Victor Hugo Astudillo Rios, Mr Victor Hugo Orellana Barriga, Mr Victor Manuel Jurado Salazar, Mr Victor Manuel Medina Caraguay, Mr Victor Manuel Molina, Mr Victor Manuel Roman Castillo, Mr Victor Miguel Penafiel Jaramillo, Mr Victor Nagua Pacheco, Mr Vladimiro Xavier Alvarez Grau, Mr Washington Renteria Galvez Eddye, Mrs Aida Violeta Egas Noblecilla, Mrs Alma Maria Carolina Ugarte Zea, Mrs Amada Judith Ulloa, Mrs Ana Isabel Baluarte Santillan, Mrs Ana Narcisa Carrion Gonzaga, Mrs Ana Violeta Minuche Zapata, Mrs Angel Serafin Jara Cobos, Mrs Angelica Valarezo Garcia Peregrina, Mrs Anita Amalia Ramirez Bejarano, Mrs Beatriz Minuche Seminario, Mrs Betty Leila Aguirre Auad, Mrs Blanca Angelica Galvez Espinoza, Mrs Blanca Victoria Orellana Perez, Mrs Carlota Susana Barrezueta Criollo, Mrs Carmen Judith Valarezo Zambrano, Mrs Carmen Leticia Zambrano Cordova, Mrs Carmen Margarita Martinez Gomez, Mrs Carmita Graciela Valarezo Espinosa, Mrs Celina Garcia Pineda Rosario, Mrs Clemencia Serrano Ugarte Rosa, Mrs Consuelo Eugenia Procel Rodriguez, Mrs Deysi Margoth Nunez Flores, Mrs Diana Mercedes Laura Lama Piza, Mrs Dolores Consuelo Barrezueta Lambert, Mrs Dolores Fabiola Procel Rodriguez, Mrs Dolores Leticia Anazco Romero, Mrs Dolores Perez Jaramillo, Mrs Elizabeth Garcia Valarezo Germania, Mrs Elsa Ines Parra Quezada, Mrs Elsa Susana Reyes Segura, Mrs Elvia Matilde Alvarado Urdiales, Mrs Emma Maria Orellana Ramirez, Mrs Esther Amparito Romero Aguilar, Mrs Esther Dolores Carrion Marquez, Mrs Eufemia Lucita Aguilar Iniguez, Mrs Fanny Del Rocio Orellana Sigcho, Mrs Fanny Julieta Astudillo Jarrin, Mrs Fanny Lucrecia Penaloza Cabrera, Mrs Flor Maria Carmita Romero Pereira, Mrs Geovanna Paola Lituma Aguilar, Mrs Gina Elizabeth Lituma Aguilar, Mrs Gina Silvana Barros Aguilar, Mrs Gladys Chong Gomez Lorgia, Mrs Gladys Elena Orellana Barriga, Mrs Gladys Josefina Pesantes Orellana, Mrs Gladys Magdalena Barriga Ayala, Mrs Gladys Marina Amaya Murillo, Mrs Gloria Maria Sanchez, Mrs Gloria Mariana Parra Ochoa, Mrs Gloria Mercedes Valarezo Ortega, Mrs Haydee Sanchez Ordonez Rosa, Mrs Hortencia Mosquera Serrano Cruz, Mrs Ines Lastenia Serrano Aguilar, Mrs Irene Calderon Jimenez Grecia, Mrs Isabel Calle, Mrs Isabel Casabona Pinto, Mrs Janeth Mariela Romero Aguilar, Mrs Juana Mercedes Auad Aguirre, Mrs Juana Rosa Quezada Chamba, Mrs Judith Esperanza Jaramillo Romero, Mrs Julia Elena Carreno Sandoya, Mrs Julia Rosa Pacheco Mendoza, Mrs Laura Lida Romero Maldonado, Mrs Ligia Ines Orellana Barriga, Mrs Lilian Elena Fadul Suazo, Mrs Livia Teresa Romero Aguilar, Mrs Loayza Zuniga Betty Betzabeth, Mrs Lola Angelica Regalado Ortiz, Mrs Luzmila Maria Asanza Arevalo, Mrs Margarita Leon Espinoza Rosa, Mrs Margarita Tinoco Armijos Ecilda, Mrs Maria Antonieta Ordonez Serrano, Mrs Maria Clemencia Alvarado Sotomayor, Mrs Maria Del Rocio Munoz Cobos, Mrs Maria Dora Leonor Jaramillo Romero, Mrs Maria Elena Laniado Castro, Mrs Maria Elena Vicuna Fadul, Mrs Maria Elizabeth Carrion Feijoo Luz, Mrs Maria Esthela Novillo Asanza, Mrs Maria Isabel Laniado Castro, Mrs Maria Orellana Solano Alipio, Mrs Maria Piedra Romero Luz, Mrs Maria Vanessa Mendia Armijos, Mrs Matilde Cordova Sarmiento Libia, Mrs Maura Guillermina Loayza Romero, Mrs Mayra Lorena Minuche Cordova, Mrs Mercedes Adelina Cueva Freire, Mrs Micaela Prado Espinoza Belgica, Mrs Miriam Lolita Elvira Celi Vega, Mrs Nila Dolly Serrano Jacome, Mrs Ninfa Enriqueta Guzman Aguirre, Mrs Norma Elsie Belen Pazmino Serrano, Mrs Olga Judith Espinoza Ponton, Mrs Olga Ugarte Molina Esilda, Mrs Olga Yolanda Aguilar Eydallin, Mrs Patricia Maria Veintimilla Loayza, Mrs Paulina Vanessa Munoz Cobos, Mrs Rosa Oliva Quirola Rivera, Mrs Rosario Balbina Benites Reyes, Mrs Rubi Violeta Farfan Loor, Mrs Sally Zeyneb Pazmino Garcia, Mrs Sara Amada De La Cruz Cruz, Mrs Sarita Araceli Hidalgo Galarza, Mrs Silvia Catalina Astudillo Ramirez, Mrs Tanya Mercedes Barros Aguilar, Mrs Vilma Marilu Coronel Yaguana, Mrs Ximena Alcoser Gonzalez Dayra, Mrs Ximena Maria Matilde Procel Rodriguez, Mrs Yolanda Pilar Saldana Vargas, Mrs Zoila Hortencia Zaruma, Mrs Zoila Sofia Maria Quirola, Obsa Oro Baa S.A., Ordoãœãžãœã“Ez Padilla Margarita Hermosina, Ordonez Blacio Filimon Prospero, Pereira Espinoza Boanerges, Pinos Guaricela Silvio Bolivar, Plaza Criollo Mercedes Idalinda, Ponton Vargas Nilo Geolito, Predial Las Colinas S.A., Productos Cultivados Del Mar (Proculmar) S.A., Ramon Andrade Willian De Jesus, Riera Quito Mercedes De Jesus, Rizzo Perez Vittorio Veneto Angel, Roman Romero Arnulfo Guiberto, Sanchez Vasquez Teresa De Jesus, Sanjinez Ochoa Velarmino, Serrano Aguilar Ennia Odalia, Serrano Mackliff Sadia Cy De Los Angeles, Sindicato Cantonal De Choferes Profesionales De Portovelo, Ugarte Chuchuca Hernahan, Union De Cooperativas Cafetaleras De Mercadeo El Oro C.Ltda, Vallejo Ullauri Y Cia Soc Agricola En P.R., Valores Fiduciarios Valfid S.A.}	EC
EC1790477142001	0		
EC0990001626001	0	Master United Holding Group Sociedad Anonima, Simsa Holding Corp Sociedad Anonima	CR, CR
EC0190110001001	6	Mr Roberto Eliseo Maldonado Alvarez, Mr Roberto Juan Maldonado Cherrez, Mrs Cristina Maldonado Cherrez Paola, Mrs Karla Sofia Maldonado Cherrez, Mrs Maria Catalina Maldonado Cherres	EC, EC, EC, EC, EC
EC1790033287001	2	Agrupacion Marista Ecuatoriana, Asesoria Tecnica E Ingenieria Astecnia C.L., Banco Del Instituto Ecuatoriano De Seguridad Social, Corporacion Ficiera Nacional Cfn, Dassum Aivas Alberto Frany Antonio, Empronorte Overseas Inc., Industrial Textilana Sa, Lanafit Sa, Mr Daniel Hermes Wappenstein Deller, Mr Enrique Benitez Jaramillo Vicente, Mr Euclides Salomon Perez Villarroel, Mr Jorge Abedrabbo Larach, Mr Ovidio Wappenstein Ulreich, Mr Patricio Donoso Chiriboga, Mr Santiago Donoso Chiriboga, Mrs Beatriz Deller Maier De Wappenstein, Mrs Julia Renata Wappenstein Deller, Mrs Susana Paula Wappenstein Deller, Vazpro S. A.	EC, EC, EC, EC, EC, PA, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC
EC1791251237001	381	Sercotel Sa De Cv	MX
EC1791282264001	2	Constructora San Jeronimo S.A., Constructora San Jorge S.A.	EC, EC
EC1790691810001	2	Corporacion Omni Invest Omninvest S.A., Mr Alfredo Adonay Jimenez Yepez	EC, EC
EC0990183899001	2	Fundacion Fop, Furoiani Zambrano Ana Maria De Lourdes, Mr Jose Luis Furoiani Zambrano, Mr Juan Jose Furoiani Zambrano, Mrs Anita Olga Zambrano Garcia	PA, EC, EC, EC, EC
EC0991098127001	2	Mr Pedro Jose Idrovo Trivino, Mrs Mercedes Maria Monserrate Luque Marriott	EC, EC
EC1790160793001	2	Escorpious Industries Llc, Nogal Llc	US, US
EC1790183750001	0	Mr Aurelio Vega Calero German, Mr German Esteban Vega Gomez, Mr Juan Sebastian Vega Gomez, Mr Ramon Vega Calero Edgar, Mr Ramon Vega Paucar Segundo, Mrs Gina Elizabeth Vega Calero	EC, EC, EC, EC
EC0990008647001	0	Mr Antonio Kronfle Kozhaya Manuel, Mr Henry Fabian Kronfle Kozhaya, Mr Jorge Antonio Kozhaya, Mr Simon Ignacio Gonzalo Kozhaya, Mr Simon Ivet Koshaya, Mr Simon Jacinto Vicente Kozhaya, Mrs Simon Adela Maria Kozhaya	EC, EC, EC, EC, EC, EC, EC
EC0991322752001	2	Mr Emilio Alberto Bruzzone Boschetti, Mr Jose Emilio Bruzzone Roldos, Mr Marcelo Andres Bruzzone Boschetti, Mrs Camila Maria Bruzzone Boschetti, Mrs Julia Desiree Boschetti Jarrin, Mrs Natalie Cossettini	EC, EC, EC, EC, EC, EC
EC0992208988001	2	Dynami Spv Iv Limited, Mr Pablo Ferdo Chiriboga Becdach	KY, EC
EC1791909690001	2	Mr Leonardo Esteban Galarza Andrade, Mrs Consuelo Maria Galarza Andrade, Mrs Maria Ferda Farto Ribadeneyra, Mrs Tatiana Galarza Andrade	EC, EC, EC
EC1791860055001	2	Globe Services Agencies S.A., Mr Carlos Mauricio Rueda Mesias	PA, EC
EC0190167348001	5	Copredi Holding Cia. Ltda., Holding Lauhat Cia. Ltda., Mr Alicia Moreno Lopez Myrian, Mr German Teodoro Torres Leon, Mr Jose Alejandro Ugalde Jerves, Mr Juan Carlos Crespo Moreno, Mr Juan Diego Castanier Jaramillo, Mr Julio Olmedo Ugalde Jerves, Mr Pedro Jose Miranda Rivadeneira, Mrs Irina Crespo Moreno, Mrs Nathalie Crespo Moreno	EC, EC, EC, EC, EC, EC, EC, EC, EC, EC, EC
EC0990681708001	2	Fidecomiso De Garantia, Administracion Y Pago Indusur-Cfn, Inmobiliaria Gunsa C Ltda, Inmobiliaria L.R Y 4h Sociedad Anonima, Inversiones Germania Sa, Mercaterra S.A., Motcum S.A., Mrs Muriel Elba Yolanda Guerrero, Palacios Barzallo Cesar Humberto (Hrdos)	EC, EC, EC, EC, EC, EC, EC, EC
EC1791279352001	3	Conjunto Clinico Nacional Conclina C.A.	EC
EC1790137058001	2	Mr Jorge Enrique Maldonado Vasconez, Mr Jorge Oswaldo Maldonado Fiallo, Mrs Maria Sol Maldonado Vasconez	EC, EC, EC
EC1790885186001	2	Mr Carlos Enrique Pinos Herdez, Mr Jose Luis Pinos Vargas	EC, EC
EC1790033295001	0		
EC0990299390001	0	Inmobiliaria Ormo S.A., Inmobiliaria San Joaquin C Ltda, Mr Luis Alejandro Morales Lopez, Toronttix S.A., Univercorpsa S.A.	EC, EC, EC, EC, EC
EC0991311637001	3	Eiris Moritz, Latina Insurance Corporation Sl., Mr Antonio Jose Arosemena Merino	, ES, EC
EC0991280855001	2	Green Coast Commodities Llc, Mr Ricardo Octavio Zambrano Gonzalez	US, EC
EC0990064733001	820	Assicurazioni Generali Spa	IT
EC20724	0		
EC1791269225001	34	Mr Gabriel Isaac Schor, Procredit Holding Ag & Co. Kgaa	, DE
EC0990794596001	2	Danub Sociedad Anonima, Mr Gustavo Cardenas Uribe	CR, EC
EC0992347430001	2	Dismedsa Cia.Ltda., International Home Developers Corporation	EC, PA
EC0990134294001	3	Anelfa C.A., Mr Alfredo Alcivar Andretta Xavier, Mr Arturo Alcivar Garcia Miguel, Mrs Aida Catalina Alcivar Andretta, Mrs Irene Maria Gonzalez Alcivar De Dassum, Mrs Maria Beatriz Alcivar Pino, Mrs Valentina Maria Alcivar Pino	EC, EC, EC, EC, EC, EC, EC
EC1790030008001	0	Coniliario Steel Llc, Inversiones Colombovenezolanas De Panama S.A., Mr Giovanni Marcelo Ferro Albornoz, Mr Jorge Anibal Calderon Villalba, Mr Marco Antonio Ferro Torre, Mr Miguel Aluanlli Anuch, Mr Ninfa Nely Molina Herrera, Mr Pablo Rafael Mella Rohdis, Mrs Fabiola Rodriguez Donoso Letty, Mrs Gladys Del Carmen Alvarez Tayupanta, Mrs Ximena Patricia Ferro Aldunate	US, PA, EC, EC, EC, CL, EC, CL, EC, EC, EC
EC30074LE	0	Agro Telematics Sa De Cv, East Holdings, Llc, Global Telematic Solutions Sa De Cv, I Gelt Holding Llc	MX, US, MX, US
EC30030LE	0		
EC0992698578001	0		
EC0990158630001	0	Megatrading S.A., Mr Guillermo Andres Jouvin Arosemena, Mr Nelson Angel Proano Briones, Mr Pierina Andrea Macchiavello Nunez, Mrs Daniela Romina Macchiavello Nunez, Mrs Lissa Maria Macchiavello Nunez, Predial E Inversionista Lipidava S.A	EC, EC, EC, EC, EC, EC, EC
EC1790819515001	0	Mr Christian Dario Segura Briones, Mr Eduardo Segura Montenegro Angel, Mr Eduardo Xavier Segura Briones, Mr Otto Ruffo Segura Montenegro, Mr Renato Segura Carrera Angel, Mrs Cynthia Daniela Segura Briones, Mrs Karla Albina Segura Carrera, Mrs Lilian Sulay Segura Montenegro	EC, EC, EC, EC, EC, EC, EC, EC
EC53503	0		
EC1090067563001	0	Asociacion De Cuentas En Participacion Mirlo, Mr Jose Francisco Narvaez Andrade, Mr Norberto Xavier Purtschert Hollenstein, Mr Rudolf Purtschert Holleinstein, Mrs Maria Elizabeth Purtschert Hollestein, Mrs Rita Graciela Cruz Bedon, Mrs Ruth Elena Purtschert Hollestein	EC, EC, EC, CH, EC, EC, EC
EC0990632286001	0		
EC1791401344001	0	Mr Eric Miguel Adolfo Castro Coray	EC
EC1190002213001	0	Fideicomiso Acciones Loja, Fundacion Alvarez, Holder Palma Sac, Wisdom Ocean Capital Pte Ltd	, EC
EC30223LE	0		
EC1790551350001	0	Mr Alvaro Jose Florez Rojas, Mr Carlos Fulgencio Romero Torrealba, Mrs Maria Dolores Torrealba Jurado, Mrs Susana Margarita Rojas Smith	EC, ES, ES, EC
EC1791952359001	0	Corporacion Garbeusc S.A., Mrs Jenny Aracely Haro Fiallos	EC, EC
EC0990494878001	7	Mr Antonio Emilio Cristobal Ginatta Coronado, Mr Juan Gabriel Vilaseca De Prati, Mrs Maria Cecilia Vilaseca De Prati De Florida, Mrs Maria Teresa Vilaseca De Prati De Piovesan, Mrs Rossana Monserrate Vilaseca De Prati De Hidalgo, Senoicca Industrial Co. Limited.	EC, VG
EC0991434879001	0	Mr Carlos Julio Valarezo Guzman, Mr Jose Abraham Valarezo Sanchez, Mr Stefano Nagib Valarezo Sanchez, Mrs Mercedes Lorena Valarezo Sanchez, Valarezo Sanchez Marissa Ivonne	EC, EC, EC, EC, EC
EC54297	0		
EC1790558886001	2	Mr Miguel Andres Aguilera Ortiz, Mr Miguel Patricio Aguilera Toral, Mrs Erika Carolina Aguilera Ortiz, Mrs Maria Teresa Ortiz Gonzalez, Mrs Natalia Liliana Aguilera Ortiz, Mrs Patricia Susana Aguilera Ortiz, Mrs Tatiana Aguilera Noguera	EC, EC, EC, CO, EC, EC, EC
EC1792014808001	2	Dahik Hajjguillermoantonio, Desca Holding, Llc, Grupo Amper Sa	, US, ES
EC1791957253001	0	Mr William Wallace Phillips Cooper	EC
EC0991259546001	2	Empafin S.A., Mr Alex Cosme Ripalda Burgos	EC, EC
EC1791782402001	0		
EC1791268903001	0		
