code	City	Company_Name	Main_Activity	Operating_Revenue	Total_Assets	Revenue_Range	No_of_Companies	Shareholder_Name	Shareholder_Country	CEO_Name
EC1791280733001	Quito	Santoscmi S.A.	Services	9159	0	5118	230	Cmi Compania De Montajes Industriales Sa, Constructora Ing. Anibal Santos E Hijos Sociedad Anonima, Fideicomiso Mercantil En Garantia Santoscmi, Posco Co., Ltd., Posco Engineering & Construction Co., Ltd., Posco Engineering Co.,Ltd.	KR,EC	N/A
EC0992588942001	Guayaquil	Productora Mar Vivo S.A. Promarvi	Manufacturing	9088	37706	5118	2	Mr Gonzalo Leon Dassum Febres Cordero, White Swan Investment Llc	US,EC	Mr Gonzalo Leon Dassum Febres Cordero
EC20761	Esquina	Cooperativa De Ahorro Y Credito Tulcan Ltda	Manufacturing	8964	90894	5118	0			N/A
EC58413	Cuenca	Banco Del Azuay	Manufacturing	8823	139009	5118	0			N/A
EC0992335610001	Guayaquil	Nederagro S.A.	Manufacturing	8821	10909	5118	0	Mr Enrique Neder Diaz Xavier, Mrs Mayra Jessenia Moreira Menendez	EC	Ms Mayra Jessenia Moreira Menendez
EC1791807154001	Quito	Aerolane Lineas Aereas Nacionales Del Ecuador S.A.	Services	8719	0	5118	28	Holdco Ecuador S.A., Lan Pax Group S A, Latam Airlines Group S.A., Mr Ricardo Antonio Guerrero Maturana	CL	N/A
EC1791413962001	Quito	Compania De Servicios Cybercell S.A.	Services	8718	3649	5118	0	Mr Gerardo Herrera Jarrin Fernando, Mrs Elsa Jael Salgado Yepez, Self Owned	EC	Mr Fernando Gerardo Herrera Jarrin
ECFEI1022493	Quito	Compania De Seguros Y Reaseguros Centro Seguros Censeg Sa	Services	8701	8488	5118	0			N/A
EC0990077185001	Quito	Banco Para La Asistencia Comunitaria Finca S.A.	Services	8539	42008	5118	0			Directors / managers / contacts are available, yet none related to the selected filter
EC0990360995001	Guayaquil	Ecuanave C.A.	Services	8509	9063	5118	2	Jismul Investment S.A., Palacios Barzallo Cesar Humberto (Hrdos)	UY,EC	Ms Maria Del Rosario Escobar Manriquez De Arizaga
EC0190329178001	Cuenca	La Casa De Electrodomestico Electroexito S.A.	Retail	8463	24956	5118	2	Malogonzalez Juanbernardo, MuÌ£ÒÌ£_Ì£ÒÌ£‰ÛÏOzurgiles Segundofloresmilo	EC	Mr Juan Bernardo Malo Gonzalez
EC1890007976001	Ambato	Industrias Catedral S.A.	Retail	8438	6275	5118	0	Moderna Alimentos S.A., Mr Jaime Eduardo Buenano Caicedo, Mr Javier Buenano Caicedo Otto, Mr Oswaldo Buenano Caicedo Walter, Mr Pablo Mauricio Buenano Caicedo, Mr Victor Hugo Buenano Caicedo, Mr Violeta Del Carmen Caicedo Mier, Mrs Maria Elena Buenano Caicedo, Mrs Monica Del Carmen Buenano Caicedo, Mrs Violeta Alexandra Buenano Caicedo	EC	Mr Jaime Eduardo Buenano Caicedo
EC1791302958001	Quito	Deportes Y Recreacion Ficchur Cia. Ltda.	Retail	8421	0	5118	0			N/A
EC0992844248001	Guayaquil	Constructora Equa Litoral Consequalisa S.A.	Retail	8272	0	5118	0			N/A
ECFEI1021166	Quito	Universal Compania De Reaseguros Sa	Retail	8228	15284	5118	0			N/A
EC0991302298001	Guayaquil	Ecuaestibas S.A.	Services	8162	0	5118	178	Inversiones San Marcos Limitada, Saam S A	CL	N/A
EC20762	Ambato	Unifinsa Sociedad Financiera	Services	7953	121568	5118	0			N/A
EC1792412005001	Quito	Ingenieria , Estudios Y Proyectos Nip, S.A.	Services	7946	0	5118	0			N/A
EC1791736699001	Quito	Viennatone S.A.	Services	7702	0	5118	2	Ullauri Paredes Alejandra Del Rocio, Ullauri Paredes Bruno Esteban	EC	N/A
EC1791886380001	Quito	Cableunion S.A	Services	7653	0	5118	0	Carrillo Luna Jorge Enrique	CO	N/A
EC1792431565001	Quito	Exploraciones Mineras Andinas Ecuador Emsaec S.A.	Services	7582	0	5118	119	Corporacion Nacional Del Cobre - Codelco	CL	N/A
EC17377	Guayaquil	Banco Capital	Services	7514	84250	5118	2	Mr Arturo Manuel Hidrobo Estrada, Mr Galo Leonidas Pozo Fernandez		N/A
EC58263	Ibarra	Visionfund Ecuador	Services	7511	40012	5118	0			N/A
ECFEI1021168	Quito	Constitucion Ca Compania De Seguros	Services	7487	15940	5118	2	Anaymar Coromoto Mambel, Mr Omar Jesus Farias Luces		N/A
EC12864	Tungurahua	Union Financiera Central Sa	Services	7399	121568	5118	2	Grupo Acp Inversiones Y Desarrollo	PE	Mr Juan Carlos Alarcon Chiriboga
EC0992435887001	Guayaquil	Balboa Compania De Seguros Y Reaseguros Sa	Services	7330	7601	5118	2	Kozma S.A., Mr Alfredo Alejandro Cuentas Ramos, Mr Olivier Alexander Dumani Ramirez, Mrs Carmen Amanda Salazar Bracco	EC	N/A
EC1790007871001	Quito	Noperti Cia. Ltda. Nc.	Services	7241	12493	5118	2	Mr Nicolas Alejandro Marcovici Longaver, Mrs Alice Estupinan Romo Leroux Mazuca	EC	Mr Nicolas Alejandro Marcovici Longaver
EC1791253868001	Quito	Microsoft Del Ecuador S.A.	Services	7193	0	5118	334	Microsoft Corp.	US	N/A
EC17398	Biblian	Cacpe Biblian	Services	7133	106512	5118	0			N/A
EC17517	Rocafuerte	Camara De Comercio De Ambato	Services	7099	114105	5118	0			N/A
EC1791241738001	Quito	Distribuidora Deportiva Dide S.A.	Services	7062	0	5118	0			N/A
EC0992273283001	Guayaquil	Imporpoint S.A.	Services	6918	20022	5118	0	Corporacion Favorita C.A., Fideicomiso De AdministraciÌ£ÒÌ£_Ì£ÒÌ£‰Û¢N De Acciones Vudse Ms, Garplus S.A.	UY,EC	Mr Isidro Perfecto Romero Carbo
EC15851	Puyo	Cooperativa De Ahorro Y Credito De La Pequena Empresa De Pastaza	Services	6814	76043	5118	0			N/A
EC20764	Ibarra	Sociedad Financiera Visionfund	Services	6797	43634	5118	0			N/A
EC0992723769001	Guayaquil	Agroclientes S.A.	Services	6755	0	5118	0	Mr Luis Garcia Williams Santiago, Williams Williams Mariana Sonia De Jesus	EC	N/A
EC0190153185001	Guayaquil	Long Life Seguros Lls Empresa De Seguros Sa	Services	6684	2952	5118	2	Fideicomiso Seguros Alfa, Mr Roberto Eduardo Seminario Wright	EC	N/A
EC1790661792001	Quito	Monica Cabeza De Vaca Publicidad Cia. Ltda.	Services	6676	0	5118	2	Mr Cesar Fabian Mantilla Cabeza De Vaca, Mrs Monica Tamara Mariana Cabeza De Vaca Bravo	EC	N/A
EC1792297133001	Quito	Romajow Cia. Ltda.	Services	6636	0	5118	0			N/A
EC0992440694001	Guayaquil	Imrelevsa Importadora De Repuestos Electronicos Velasco S.A.	Services	6626	0	5118	0			N/A
EC0990560536001	Guayaquil	Corporacion Multibg S.A.	Services	6609	139342	5118	2	Centro Tecnico Albotec S.A., Fideicomiso Mercantil De Acciones Aco, Fideicomiso Mercantil De Acciones Jme, Fideicomiso Mercantil De Administracion Clm-Mms, Fideicomiso Mercantil De Administracion Dcd-Dos, Fideicomiso Mercantil De Administracion Dcd-Uno, Fideicomiso Mercantil De Administracion Glm, Fideicomiso Mercantil De Administracion Melm, Mr Alejandro Andrade Rodriguez Rodrigo, Mr Jose Leopoldo Carrera Drouet, Mr Jose Santiago Castillo Barredo, Promoquil S.A.	EC	Mr Danilo Carrera Drouet
EC0992696176001	Guayaquil	Lg Electronics Panama S.A.	Services	6583	0	5118	0			N/A
EC0992378786001	Quito	Codepret S.A.	Services	6551	4162	5118	9	Iberoamericana De Telecomunicaciones Sociedad Limitada, Mr Guillermo Romero Salinas Manuel, Mr Rodolfo Rosero Gallardo Nestor, Mrs Adriana Velasquez Hidalgo Paola	EC,ES	Mr Gonzalo Sacristan Lopez De Guerenu
EC1792196809001	Quito	Soluciones Integrales Advancetel Sociedad Anonima	Services	6527	0	5118	0			N/A
EC1790334791001	Quito	Dichem Del Ecuador S.A.	Manufacturing	6510	6928	5118	2	Organizacion Iliniza Sa, Petroleos Summa Pet Compania Anonima	EC	Mr Vicente Cristobal Sanches Villagomez
EC1790867129001	Quito	Inteleq S.A.	Manufacturing	6440	1929	5118	2	Gonzalez Artigas Lasso Esteban, Mr Eduardo Pinto Penafiel Andres	EC	Ms Laura Del Carmen Vaca Holguin
EC0991276106001	Guayaquil	Servicios Y Agenciamientos Maritimos S.A. Sagemar	Manufacturing	6433	0	5118	11	C P T Empresas Maritimas S A, Transporte Maritimo Chiloe Aysen Sa	CL	N/A
EC20752	San Jose De Chimbo	Cooperativa De Ahorro Y Credito San Jose	Manufacturing	6417	93585	5118	0			N/A
EC1791972465001	Quito	Cinti Comp Cia. Ltda.	Manufacturing	6407	0	5118	2	Mr Efren Chacha Rubio Kleber, Mrs Marjorie Chacha Rubio Kennya	EC	N/A
EC2290325334001	Puerto Francisco De Orellana Coca	J&V Empreori Cia. Ltda.	Manufacturing	6353	0	5118	0			N/A
EC15785	Manabi	Cooperativa De Ahorro Y Credito 15 De Abril Ltda	Manufacturing	6346	77175	5118	0			N/A
EC0992410787001	Guayaquil	Hispanigrand S.A.	Wholesale	6335	0	5118	0			N/A
EC1790827356001	Quito	Ecuatoriana De Lentes Elens S.A.	Wholesale	6277	0	5118	0			N/A
EC0992211237001	Guayaquil	Eslive S.A.	Wholesale	6271	18667	5118	0	Mr Dieter Ramon Sonnenholzner Sper, Mr Georg Ramon Sonnenholzner Sper, Mr Ramon Sonnenholzner Sper Gunther, Mr Ramon Sonnenholzner Sper Otto, Rosenheimer S.A.	EC	Mr Gunther Ramon Sonnenholzner Sper
EC20745	Quito	Proinco	Wholesale	6191	23719	5118	0			N/A
EC0992662360001	Samborondon	Golden Value Company S.A. Govalue	Wholesale	6156	0	5118	2	Mr Alfredo Pino Salvador, Varsis Trading Corp.	VE,BZ	N/A
EC1791878280001	Quito	Dexicorp S.A.	Services	6092	40712	5118	2	Indian Investigaciones Y Consultoria Sociedad Anonima, Mr Juan Carlos Serrano Valdivieso	CR	Mr Luis Antonio Serrano Valdivieso
EC1792352428001	Quito	Comercializadora Starpack Cia. Ltda.	Services	6024	0	5118	0			N/A
EC0990036152001	Quito	Bayer S.A.	Manufacturing	5996	0	5118	559	Bayer Ag	DE	N/A
EC1792214394001	Quito	Emprevenecu S.A.	Manufacturing	5949	0	5118	0			N/A
EC1790105709001	Quito	Weatherford South America Gmbh	Manufacturing	5947	0	5118	0			N/A
EC0990021066001	Guayaquil	Industrias Unidas Cia. Ltda	Manufacturing	5937	5871	5118	0			Mr Jorge Emilio Marcet Ghiglione
EC0992706899001	Guayaquil	Enertecno S.A.	Manufacturing	5919	0	5118	0			N/A
EC0992528737001	Guayaquil	Construahora S.A.	Manufacturing	5806	0	5118	0			N/A
EC0990048673001	Guayaquil	Banco Delbank Sa	Services	5804	29451	5118	0			N/A
EC0992734493001	Guayaquil	Negoventas S.A.	Services	5783	0	5118	0	Mr Juan Jose Palacios Sanchez, Mr Raul Alfonso Estrada Ulloa	EC	N/A
EC1792368898001	Quito	Minga Tecnologia Mingatech S.A.	Services	5693	0	5118	0			N/A
EC1791906497001	Quito	Majestic Corporation Cia. Ltda	Services	5641	0	5118	2	Mr Mauro Napoleon Montalvo Hidalgo, Mrs Maria Fernanda Montalvo Torres	EC	N/A
EC1792171709001	Quito	Importadora Trailer Repuestos S.A. Importrailer	Services	5636	0	5118	2	Mr Marcelo Belisario Coello Zapata, Mrs Maria Isabel Coello Paez	EC	N/A
EC0991237313001	Samborondon	Chiquita Banana Ecuador Cbbrands S.A.	Wholesale	5634	0	5118	121	Chiquita Brands International Inc, Chiquita Tropical Fruit Company B.V.	NL,US	N/A
EC1790930777001	Guayaquil	Aero Express Del Ecuador Transam Cia. Ltda.	Wholesale	5555	0	5118	1016	Deutsche Post Ag, Deutsche Post Beteiligungen Holding Gmbh, Dhl Express (Ecuador) S.A.	DE,EC	N/A
EC0992728078001	El Triunfo	Canicorp S.A.	Wholesale	5541	0	5118	2	Mr Paul Emilio Canarte Teran, Mrs Xiomara Dolores Moya Cisneros	EC	N/A
EC0992253738001	Guayaquil	Integrated Services Issa S.A.	Wholesale	5467	0	5118	2	Mr Luis Alberto Ramirez Ramos, Mr Manuel Abad Elvay Wilson	EC	N/A
EC0990575053001	Guayaquil	Talleres Y Servicios Tasesa Ca	Wholesale	5457	0	5118	3	Blueholding S.A., Mr Juan Carlos Pena Seminario, Mr Jurado Von Buchwald Juan Fernando, Mr Luis Eduardo Pena Seminario	EC	N/A
EC0990794650001	Guayaquil	Velasco Y Luque Representaciones S.A. ''Evisa''	Wholesale	5447	0	5118	2	Mr Antonio Velasco Izquierdo Erwin, Mr Sergio Velasco Izquierdo Nelson	EC	N/A
