code	city	company_name	main_activity	operating_revenue	total_assets	revenue_range
EC0992221178001	GUAYAQUIL	ALUMINAR - V, ALUMINIO, VIDRIOS Y ESPEJOS S.A.	Wholesale	4601	0	1752
EC0992653647001	GUAYAQUIL	ASEMPRESER, SERVICIOS Y ASESORIA EMPRESARIAL S.A.	Services	2105	0	1752
EC1791902947001	QUITO	CASEMAGER COMPANIA DE SEGURIDAD MARIA GERARDA, CIA. LTDA.	Wholesale	1891	0	1752
EC0992652764001	GUAYAQUIL	CEVALLOS ALUMINIO Y VIDRIO, CORPCEALVI S.A.	Services	1120	0	600
EC0991495614001	ELOY ALFARO	CEYM, COMPANIA ELECTRICA Y MECANICA S.A.	Services	2296	0	1752
EC1792471877001	PUERTO FRANCISCO DE ORELLANA COCA	CONSTRUCCIONES, MATERIALES, EQUIPOS Y SERVICIOS INDUSTRIALES GELMANI CIA. LTDA.	Services	1062	0	600
EC0190167674001	CUENCA	CONSTRUCTORA TECNICA DE PUENTES, CONSTRUNION CIA. LTDA.	Manufacturing	1170	0	600
EC1391801106001	QUITO	DISENO, DESARROLLO Y MANUFACTURA DE ECUADOR D.D.M. S.A.	Services	3244	0	1752
EC1791297806001	CALDERON CARAPUNGO	ECUACHAPAS, ECUATORIANA DE CHAPAS DE MADERA CIA. LTDA.	Wholesale	638	0	600
EC1791738543001	QUITO	EL POBRE DIABLO CAFE, POBREDIABLO CIA. LTDA	Wholesale	628	0	600
EC1792356342001	QUITO	ENSILECTRIC, S.A.	Wholesale	633	0	600
EC0991352937001	GUAYAQUIL	FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS S.A.	Wholesale	3839	0	1752
EC1790972453001	QUITO	FINPLASA, INVERSIONES Y REPRESENTACIONES S.A.	Services	803	0	600
EC1390140319001	MANTA	FRIGORIFICO Y LABORATORIO SAN MATEO, FRIGOLAB SAN MATEO CIA. LTDA.	Manufacturing	696	0	600
EC1790828573001	PUERTO AYORA	IGUANATOURS, CRUCEROS MARITIMOS S.A.	Services	3035	0	1752
EC1792412005001	QUITO	INGENIERIA , ESTUDIOS Y PROYECTOS NIP, S.A.	Services	7946	0	5118
EC1791279034001	QUITO	MECANOGRAFICA, MAQUINAS Y EQUIPOS DE COPIADO ALFANUMERICO Y GRAFICO CL	Wholesale	912	0	600
EC0992651776001	GUAYAQUIL	MEDISERMAS S.A. MEDICINAS, SERVICIOS Y MAS	Services	1914	0	1752
EC1791766008001	QUITO	PEREZ, BUSTAMANTE & PONCE ABOGADOS CIA. LTDA.	Services	4605	0	1752
EC0992107979001	GUAYAQUIL	PROTECCION MAXIMA, PROTEMAXI C. LTDA.	Manufacturing	1231	0	600
EC0992654007001	GUAYAQUIL	PUBLICIDAD, MARKETING Y SERVICIOS S.A. PUMARKSERV	Services	2056	0	1752
EC1791315588001	QUITO	SABRE INTERNATIONAL, LLC.	Services	3008	0	1752
EC0991298223001	GUAYAQUIL	SEGURIDAD GUAYAQUIL, SEGQUIL CIA. LTDA.	Wholesale	979	0	600
EC1791261526001	QUITO	SERVICIOS Y SISTEMAS, MULTISERVICE S.A.	Wholesale	668	0	600
EC0992648856001	GUAYAQUIL	WORLDWIDE INTERNATIONAL SERVICES S.A., WIB	Wholesale	985	0	600
EC1792345928001	QUITO	WORLEYPARSONS INTERNATIONAL, INC.	Wholesale	106949	0	43674
EC0990477434001	GUAYAQUIL	SERVICIOS TURISTICOS DORAL C.A. SERTUDORAL	Manufacturing	675	0	600
EC0992589590001	GUAYAQUIL	ABAIRE S. A.	Services	1043	0	600
EC0992247312001	GUAYAQUIL	ABELYA S.A.	Wholesale	635	0	600
EC1791329619001	QUITO	ACCENTURE ECUADOR S.A.	Services	1084	0	600
EC1790516008001	QUITO	ACE SEGUROS SA (ECUADOR)	Services	144077	127411	127579
EC1790004724001	QUITO	ACERIA DEL ECUADOR C.A	Manufacturing	299467	355179	127579
EC0992577339001	GUAYAQUIL	ACEROIN S.A.	Services	5286	0	5118
EC1791977300001	QUITO	ACEROS EMANUEL VEWILBE S.A.	Wholesale	1785	0	1752
EC1791875834001	QUITO	ADECCOBUSINESS S.A.	Services	1729	0	600
EC1791414004001	QUITO	ADECCOIBERIA S.A.	Services	4618	0	1752
EC0992125985001	GUAYAQUIL	ADITIVOS Y ALIMENTOS S.A. ADILISA	Manufacturing	11991	9478	5118
EC1791269489001	QUITO	ADITMAQ ADITIVOS Y MAQUINARIAS CIA. LTDA.	Wholesale	23086	18407	14951
EC0990628475001	ELOY ALFARO	ADUM CONSTRUCCIONES MECANICAS A.C.M. C LTDA	Manufacturing	1191	0	600
EC1790930777001	GUAYAQUIL	AERO EXPRESS DEL ECUADOR TRANSAM CIA. LTDA.	Wholesale	5555	0	5118
EC1791807154001	QUITO	AEROLANE LINEAS AEREAS NACIONALES DEL ECUADOR S.A.	Services	8719	0	5118
EC0992598182001	GUAYAQUIL	AEROPUERTOS ECOLOGICOS DE GALAPAGOS S.A.	Services	9501	59829	5118
EC1791741684001	QUITO	AERORELEASE TAXI AEREO MANTENIMIENTO CIA. LTDA.	Manufacturing	900	0	600
EC0992663650001	GUAYAQUIL	AFINES Y COMERCIO AFICOMSA S.A.	Manufacturing	1385	0	600
EC0992589078001	GUAYAQUIL	AFITGER S.A.	Manufacturing	1321	0	600
EC0991307605001	GUAYAQUIL	AFP GENESIS ADMINISTRADORA DE FONDOS Y FIDEICOMISOS S.A.	Services	5247	13134	5118
EC1792493226001	CUMBAYA	AGENCIA DE PROYECTOS Y CARGA S.A. PRODENKELSA	Services	746	0	600
EC0990841993001	GUAYAQUIL	AGENCIA MARITIMA GLOBAL MARGLOBAL SA	Services	2523	0	1752
EC30206LE	GUAYAQUIL	AGENCIA NAVIERA AGNAMAR S.A.	Wholesale; Retail	21523	6970	14951
EC1792291593001	QUITO	AGRICOLA AGROTATI CIA. LTDA.	Services	1525	0	600
EC0990006687001	GUAYAQUIL	AGRIPAC S.A.	Wholesale	282304	237470	127579
EC0992233222001	SANBORONDON	AGRITOP S.A.	Manufacturing	15738	13212	14951
EC0992723769001	GUAYAQUIL	AGROCLIENTES S.A.	Services	6755	0	5118
EC0992819766001	GUAYAQUIL	AGROINDUSTRIAL ZHANG CHEN S.A.	Wholesale	646	0	600
EC0990774404001	SAMBORONDON	AIFA S.A.	Wholesale	9322	10149	5118
EC1790475247001	QUITO	AIG METROPOLITANA COMPANIA DE SEGUROS Y REASEGUROS SA	Services	93713	89088	43674
EC0992184876001	GUAYAQUIL	AIR & OCEAN CARGO SPEEDAIR S.A.	Services	780	0	600
EC1792086949001	QUITO	ALCOMIN S.A.	Services	736	0	600
EC0992265930001	GUAYAQUIL	ALERAM S.A.	Services	756	0	600
EC0992587482001	SAMBORONDON	ALIADOS MANAGEMENT SOLUTIONS S.A. ALIADOSMANAG	Services	1002	0	600
EC1791326202001	QUITO	ALIANZA LOGISTIKA TDGE S.A.	Services	3090	0	1752
EC1790551350001	QUITO	ALIANZA, COMPANIA DE SEGUROS Y REASEGUROS SA	Services	27752	35704	14951
EC1790381595001	GUAYAQUIL, GUAYAS	ALIMENTOS ECUATORIANOS - ALIMEC, S.A.	Manufacturing	15329	7754	14951
EC1792265134001	QUITO	ALIMENTOS Y NEGOCIOS ASOCIADOS AYNA CIA. LTDA.	Wholesale	1643	0	600
EC30207LE	GUAYAQUIL	ALIMENTSA DIETAS Y ALIMENTOS S.A.	Manufacturing	75755	35573	43674
EC0990010110001	GUAYAQUIL	ALMACENES BOYACA S.A.	Wholesale	47843	52419	43674
EC0990011214001	GUAYAQUIL	ALMACENES DE PRATI S.A	Retail	252189	248269	127579
EC1891753663001	AMBATO	ALUVIDGLASS CIA. LTDA.	Services	1153	0	600
EC0991344829001	QUITO	AMADEUSGLOBAL ECUADOR S.A.	Services	2484	0	1752
EC2290316491001	QUITO	AMAZONSERVICE CIA. LTDA.	Services	1505	0	600
EC1890069963001	AMBATO	AMBASEG AMBATO SEGURIDAD C LTDA	Services	5304	0	5118
EC1792028469001	SANGOLQUI	ANDEAN DISCOVERY S.A. ANDESCOVERY	Services	1029	0	600
EC0190327426001	CUENCA	ANDICOAUDI S.A.	Manufacturing	1277	0	600
EC1792151686001	QUITO	ANDINAONLINE COMPANY S.A.	Services	1028	0	600
EC0990668558001	GUAYAQUIL	ANDINAVE SA	Services	814	0	600
EC0991457356001	GUAYAQUIL	ANDIPUERTO GUAYAQUIL S.A.	Services	1685	0	600
EC1790883930001	QUITO	ANDOLAS CIA. LTDA.	Services	1433	0	600
EC1790783081001	QUITO	ANECOEX ECUADOR SA	Wholesale	3467	0	1752
EC1792218225001	QUITO	ANF AUTHORITY OF CERTIFICATION ECUADOR S.A.	Services	778	0	600
EC0990013438001	GUAYAQUIL	ANGLO ECUATORIANA DE GUAYAQUIL C.A.	Wholesale	13399	10909	5118
EC1790376338001	QUITO	APARTAMENTOS Y HOTELES ECUATORIANOS APARTEC SA	Services	825	0	600
EC0992767766001	GUAYAQUIL	APINGENIERIA S.A.	Wholesale	668	0	600
EC0991441093001	GUAYAQUIL	APL DEL ECUADOR S.A.	Wholesale	982	0	600
EC1791297334001	QUITO	ARCELORMITTAL INTERNATIONAL ECUADOR S.A.	Wholesale	614	0	600
EC0991169024001	GUAYAQUIL	ARETINA S.A.	Services	10579	0	5118
EC0992443375001	GUAYAQUIL	ARTHROSCORP S.A.	Wholesale	3524	2207	1752
EC0991281258001	GUAYAQUIL	ARUAL S.A.	Services	3426	0	1752
EC0190123626001	QUITO	ASEGURADORA DEL SUR CA	Services	75392	52162	43674
EC0992537388001	GUAYAQUIL	ASEMPUBLICORP S.A.	Services	2187	0	1752
EC1792111382001	QUITO	ASESORES INTEGRALES MINGACORP S.A.	Services	12239	0	5118
EC0990778221001	GUAYAQUIL	ASESORES Y CONSEJEROS ACONSEC CIA.LTDA.	Manufacturing	1394	0	600
EC0992714581001	GUAYAQUIL	ASESORIA & SERVICIOS CORPORATIVOS FABACORPSA S.A.	Manufacturing	846	0	600
EC1792222613001	CALDERON CARAPUNGO	ASIAELECTRIC S.A.	Wholesale	632	0	600
EC0991313788001	MANTA	ASISERVY S.A.	Manufacturing; Wholesale	57206	54977	43674
EC1790075494001	GUAYAQUIL	ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA	Services	60602	605504	43674
EC1791329317001	QUITO	ASTORGAL CIA. LTDA.	Wholesale	930	0	600
EC0992113502001	GUAYAQUIL	ASUNCORP S.A.	Services	2458	0	1752
EC1791434749001	QUITO	AT&T GLOBAL NETWORK SERVICES ECUADOR CIA. LTDA.	Wholesale	987	0	600
EC1790038092001	QUITO	ATU ARTICULOS DE ACERO S.A.	Manufacturing	16140	15504	14951
EC1891713580001	IZAMBA	AUSTRO DISTRIBUCIONES AUSTRODIS CIA. LTDA.	Manufacturing; Wholesale	5183	0	5118
EC0190391906001	CUENCA	AUSTROPARTS CIA. LTDA.	Wholesale	3754	0	1752
EC1792138574001	QUITO	AUTO SERVICIOS MECANICAMOTOR S.A.	Wholesale	635	0	600
EC1791315715001	QUITO	AUTOCLINIK S.A.	Manufacturing	712	0	600
EC1792421772001	CUMBAYA	AUTOLIDER ECUADOR S.A.	Services	747	0	600
EC1890000130001	AMBATO	AUTOMOTORES DE LA SIERRA S.A.	Retail; Services	81848	40127	43674
EC1792022169001	SAN RAFAEL	AUTOMOTORES DEL VALLE VALLEMOTORS S.A.	Wholesale; Services	23866	0	14951
EC0990810311001	GUAYAQUIL	AUTOMOTORES LATINOAMERICANOS SA AUTOLASA	Retail	85914	26929	43674
EC1790014797001	QUITO	AUTOMOTORES Y ANEXOS S.A.	Manufacturing	159281	96325	127579
EC0990760799001	GUAYAQUIL	AUTORADIADOR SOCIEDAD ANONIMA AUTORAD SA	Retail	11424	0	5118
EC0992142618001	GUAYAQUIL	AVICOLA FERNANDEZ S.A.	Manufacturing	54071	42068	43674
EC1792235952001	QUITO	AVISORIAWEB S.A.	Wholesale	1661	0	600
EC1791957253001	QUITO	AZULEC S.A.	Services	26441	30355	14951
EC0992759682001	GUAYAQUIL	B TELECOMUNICACIONES LATINO AMERICA S.A. BTELASA	Services	2374	0	1752
EC0992645504001	GUAYAQUIL	BACO INTERNACIONAL S.A. BACOINTERSA	Wholesale	1898	0	1752
EC0992784857001	GUAYAQUIL	BAFEMACORP S.A.	Wholesale	964	0	600
EC0992435887001	GUAYAQUIL	BALBOA COMPANIA DE SEGUROS Y REASEGUROS SA	Services	7330	7601	5118
EC0992245522001	GUAYAQUIL	BANAFRESH S.A.	Services	1154	0	600
EC0991356193001	GUAYAQUIL	BANANAPUERTO PUERTO BANANERO S.A.	Services	1963	0	1752
EC1790221806001	QUITO	BANCO AMAZONAS SA	Services	11530	142276	5118
EC0990379017001	GUAYAQUIL	BANCO BOLIVARIANO CA	Services	158483	2939842	127579
EC17377	GUAYAQUIL	BANCO CAPITAL	Services	7514	84250	5118
EC1390067506001	PORTOVIEJO	BANCO COMERCIAL DE MANABI	Services	5438	60802	5118
EC0990459444001	GUAYAQUIL	BANCO COOPNACIONAL SA	Services	10986	165120	5118
EC0992701374001	GUAYAQUIL	BANCO D-MIRO SA	Services	18240	115025	14951
EC0990049459001	GUAYAQUIL	BANCO DE GUAYAQUIL SA	Services	317658	3908326	127579
EC1790368718001	QUITO	BANCO DE LA PRODUCCION SA - PRODUBANCO	Services	226813	3554226	127579
EC1190002213001	LOJA	BANCO DE LOJA	Services	28607	421663	14951
EC0790002350001	MACHALA	BANCO DE MACHALA	Services	44980	566633	43674
EC0190055965001	CUENCA	BANCO DEL AUSTRO S.A.	Services	118933	1456921	43674
EC58413	CUENCA	BANCO DEL AZUAY	Manufacturing	8823	139009	5118
EC52620	QUITO	BANCO DEL ESTADO (ECUADOR)	Services	82528	1835458	43674
EC0990981930001	GUAYAQUIL	BANCO DEL LITORAL	Services	2580	21488	1752
EC0990005737001	GUAYAQUIL	BANCO DEL PACIFICO	Services	317501	4294166	127579
EC0990048673001	GUAYAQUIL	BANCO DELBANK SA	Services	5804	29451	5118
EC17370	SECTOR LA FLORESTA QUITO	BANCO DESARROLLO	Manufacturing	14545	160033	5118
